Integral: 1.001600	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999856	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000040	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000220	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000161	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999582	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999668	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999254	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999620	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000800	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998946	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000099	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999209	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000890	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000292	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000440	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999860	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001179	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000480	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998913	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999993	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999129	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000532	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999649	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999584	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999276	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998735	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000069	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999346	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000482	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999200	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998953	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999987	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999705	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998420	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001216	 observed error: 0.000865	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.001726	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999803	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000417	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999671	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999400	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000357	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999991	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999380	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998439	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000687	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000588	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999284	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999811	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000485	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998374	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000584	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000745	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000412	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000982	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.997721	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998196	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999310	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000252	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 1.000052	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999621	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.999192	 observed error: 0.000864	 CLT error: 0.000213 	Ntrials: 10000000
Integral: 0.998658	 observed error: 0.000863	 CLT error: 0.000213 	Ntrials: 10000000
